Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Request Type),Custom field (Roadmap),Custom field (Sentiment),Custom field (Spec ready),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (development),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Configure Gmail notification,BDC-72,10215,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:06 AM,15/Sep/25 3:04 AM,,15/Sep/25 3:04 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@18d4b72e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000iz:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:36:25.594,10095_*:*_1_*:*_10694901_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:06 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10170,BDC-35,Configure Jenkins system,Done,15/Sep/25 3:04 AM
Setup Sonarqube server,BDC-71,10213,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:05 AM,15/Sep/25 3:04 AM,,15/Sep/25 3:04 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40e16f7c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ir:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:36:01.933,10095_*:*_1_*:*_10715220_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:06 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10170,BDC-35,Configure Jenkins system,Done,15/Sep/25 3:04 AM
Add Gmail credentials,BDC-70,10211,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:05 AM,15/Sep/25 2:40 AM,,15/Sep/25 2:40 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7cc63394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ij:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:35:40.526,10095_*:*_1_*:*_9294397_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:05 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10169,BDC-34,Configure Jenkins credentials,Done,15/Sep/25 2:40 AM
Add Dockerhub credentials,BDC-69,10209,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:05 AM,15/Sep/25 2:40 AM,,15/Sep/25 2:40 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64e380a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ib:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:35:29.728,10095_*:*_1_*:*_9302915_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:05 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10169,BDC-34,Configure Jenkins credentials,Done,15/Sep/25 2:40 AM
Add Sonarqube credentials,BDC-68,10207,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:05 AM,15/Sep/25 2:40 AM,,15/Sep/25 2:40 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@cff9636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000i3:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:35:14.003,10095_*:*_1_*:*_9317093_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:05 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10169,BDC-34,Configure Jenkins credentials,Done,15/Sep/25 2:40 AM
add Sonarqube,BDC-67,10205,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:04 AM,15/Sep/25 2:40 AM,,15/Sep/25 2:40 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b499f95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000hv:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:34:58.371,10095_*:*_1_*:*_9319234_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:04 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10168,BDC-33,Configure Jenkins tools,Done,15/Sep/25 2:40 AM
add JDK,BDC-66,10203,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:04 AM,15/Sep/25 2:40 AM,,15/Sep/25 2:40 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33137eab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000hn:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:34:51.118,10095_*:*_1_*:*_9323521_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:04 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10168,BDC-33,Configure Jenkins tools,Done,15/Sep/25 2:40 AM
Push manfiests to github,BDC-65,10201,Subtask,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:04 AM,15/Sep/25 3:47 AM,,15/Sep/25 3:47 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d82647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000hf:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:34:32.606,10095_*:*_1_*:*_13360920_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:04 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,10191,BDC-56,Collect a screenshot of the email notification for deliverable,Done,15/Sep/25 3:47 AM
Organize the deliverables for submission,BDC-64,10199,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:04 AM,15/Sep/25 11:11 AM,,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b1baf03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000h7:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:34:06.043,10095_*:*_1_*:*_40054769_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:04 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
Export Jira board for deliverables,BDC-63,10198,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:03 AM,15/Sep/25 11:11 AM,,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5fe8c101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000gz:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:33:55.709,10095_*:*_1_*:*_40062419_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:03 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
